METRIC,PRODUCT,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
Spend,Offer,62717.14,56355.78,6361.36,0.11
Spend,Brand,1037739.72,979580.56,58159.16,0.06
Spend,Aisle,4084428.18,3880807.25,203620.93,0.05
Units,Offer,25117.02,22537.94,2579.08,0.11
Units,Brand,506365.64,479277.36,27088.28,0.06
Units,Aisle,1771305.29,1682430.67,88874.62,0.05
Visits,Offer,22661.99,20480.76,2181.23,0.11
Visits,Brand,413568.96,391852.96,21716.00,0.06
Visits,Aisle,1220181.72,1161775.92,58405.80,0.05
Total_custs,Offer,15827.00,14346.53,1480.47,0.10
Total_custs,Brand,301593.00,282900.38,18692.62,0.07
Total_custs,Aisle,795653.00,749896.76,45756.24,0.06
