PRODUCT,WEEK_COMMENCING,EXPOSED,CONTROL
Aisle,2017-08-30,469645,466097
Aisle,2017-09-06,451999,450690
Aisle,2017-09-13,441084,441769
Aisle,2017-09-20,503789,497506
Aisle,2017-09-27,499761,494754
Aisle,2017-10-04,481153,475777
Aisle,2017-10-11,442521,442223
Aisle,2017-10-18,435572,437795
Aisle,2017-10-25,447407,447525
Aisle,2017-11-01,467929,475164
Aisle,2017-11-08,452870,459433
Aisle,2017-11-15,438876,452447
Aisle,2017-11-22,459099,440797
Aisle,2017-11-29,472384,444788
Aisle,2017-12-06,450652,427184
Aisle,2017-12-13,457599,451136
Aisle,2017-12-20,387721,379558
Aisle,2017-12-27,405497,396575
Aisle,2018-01-03,503183,490390
Aisle,2018-01-10,452287,444120
Aisle,2018-01-17,497342,487001
Aisle,2018-01-24,478459,471113
Brand,2017-08-30,139267,137606
Brand,2017-09-06,132195,129935
Brand,2017-09-13,127136,126749
Brand,2017-09-20,117244,115239
Brand,2017-09-27,117237,116765
Brand,2017-10-04,115408,113941
Brand,2017-10-11,131385,130662
Brand,2017-10-18,125265,125059
Brand,2017-10-25,128513,128416
Brand,2017-11-01,118923,121955
Brand,2017-11-08,115457,118040
Brand,2017-11-15,112180,117247
Brand,2017-11-22,133437,126929
Brand,2017-11-29,136550,128745
Brand,2017-12-06,132294,124952
Brand,2017-12-13,122661,121542
Brand,2017-12-20,106187,103643
Brand,2017-12-27,108106,105701
Brand,2018-01-03,139687,134005
Brand,2018-01-10,120524,117422
Brand,2018-01-17,142604,138924
Brand,2018-01-24,133860,130861
Offer,2017-08-30,7882,7637
Offer,2017-09-06,7147,6674
Offer,2017-09-13,6903,7124
Offer,2017-09-20,1023,1047
Offer,2017-09-27,1156,1313
Offer,2017-10-04,1069,1063
Offer,2017-10-11,1618,1698
Offer,2017-10-18,1662,1542
Offer,2017-10-25,1865,1794
Offer,2017-11-01,4137,4061
Offer,2017-11-08,3902,4218
Offer,2017-11-15,3584,3865
Offer,2017-11-22,6184,5639
Offer,2017-11-29,6205,5321
Offer,2017-12-06,5944,5422
Offer,2017-12-13,1835,1755
Offer,2017-12-20,1881,1680
Offer,2017-12-27,1518,1486
Offer,2018-01-03,1298,1304
Offer,2018-01-10,1176,1157
Offer,2018-01-17,10298,9559
Offer,2018-01-24,10016,9375
